"gene_id","module"
"evm.TU.Chr05.2474","grey"
"evm.TU.Chr05.2520","turquoise"
"evm.TU.Chr05.2539","turquoise"
"evm.TU.Chr05.2543","brown"
"evm.TU.Chr05.2571","turquoise"
"evm.TU.Chr05.2572","turquoise"
"evm.TU.Chr05.2573","turquoise"
"evm.TU.Chr05.2767","grey"
"evm.TU.Chr05.2770","black"
"evm.TU.Chr05.2796","grey"
"evm.TU.Chr05.2818","turquoise"
"evm.TU.Chr05.2846","brown"
"evm.TU.Chr05.2877","grey"
"evm.TU.Chr05.2945","black"
"evm.TU.Chr05.3027","blue"
"evm.TU.Chr05.3075","yellow"
"evm.TU.Chr05.3138","green"
"evm.TU.Chr05.3151","turquoise"
"evm.TU.Chr05.3196","turquoise"
"evm.TU.Chr05.3234","turquoise"
"evm.TU.Chr05.3256","turquoise"
"evm.TU.Chr05.3283","blue"
"evm.TU.Chr05.3284","green"
"evm.TU.Chr05.3316","blue"
"evm.TU.Chr05.3355","grey"
"evm.TU.Chr05.3361","black"
"evm.TU.Chr02.32","green"
"evm.TU.Chr02.178","blue"
"evm.TU.Chr02.219","grey"
"evm.TU.Chr02.239","black"
"evm.TU.Chr02.257","grey"
"evm.TU.Chr02.277","blue"
"evm.TU.Chr02.372","turquoise"
"evm.TU.Chr02.384","yellow"
"evm.TU.Chr02.391","grey"
"evm.TU.Chr02.392","blue"
"evm.TU.Chr02.395","blue"
"evm.TU.Chr02.400","grey"
"evm.TU.Chr02.429","blue"
"evm.TU.Chr02.430","grey"
"evm.TU.Chr02.468","grey"
"evm.TU.Chr02.749","black"
"evm.TU.Chr02.750","black"
"evm.TU.Chr02.776","grey"
"evm.TU.Chr02.777","grey"
"evm.TU.Chr02.799","green"
"evm.TU.Chr02.843","yellow"
"evm.TU.Chr02.845","yellow"
"evm.TU.Chr02.851","brown"
"evm.TU.Chr02.852","turquoise"
"evm.TU.Chr02.860","grey"
"evm.TU.Chr02.899","blue"
"evm.TU.Chr02.927","turquoise"
"evm.TU.Chr02.928","grey"
"evm.TU.Chr02.932","turquoise"
"evm.TU.Chr02.933","turquoise"
"evm.TU.Chr02.979","blue"
"evm.TU.Chr02.992","grey"
"evm.TU.Chr02.993","turquoise"
"evm.TU.Chr02.1039","grey"
"evm.TU.Chr02.1162","turquoise"
"evm.TU.Chr02.1222","grey"
"evm.TU.Chr02.1319","red"
"evm.TU.Chr02.1346","grey"
"evm.TU.Chr02.1349","grey"
"evm.TU.Chr02.1356","grey"
"evm.TU.Chr02.1360","blue"
"evm.TU.Chr02.1361","grey"
"evm.TU.Chr02.1363","green"
"evm.TU.Chr02.1369","blue"
"evm.TU.Chr02.1399","grey"
"evm.TU.Chr02.1412","brown"
"evm.TU.Chr02.1413","brown"
"evm.TU.Chr02.1444","blue"
"evm.TU.Chr02.1445","blue"
"evm.TU.Chr02.1449","turquoise"
"evm.TU.Chr02.1491","black"
"evm.TU.Chr02.1588","turquoise"
"evm.TU.Chr02.1605","brown"
"evm.TU.Chr02.1646","grey"
"evm.TU.Chr02.1649","grey"
"evm.TU.Chr02.1688","grey"
"evm.TU.Chr02.1691","brown"
"evm.TU.Chr02.1727","brown"
"evm.TU.Chr02.1739","turquoise"
"evm.TU.Chr02.1742","grey"
"evm.TU.Chr02.1745","turquoise"
"evm.TU.Chr02.1758","grey"
"evm.TU.Chr02.1779","blue"
"evm.TU.Chr02.1797","yellow"
"evm.TU.Chr02.1835","black"
"evm.TU.Chr02.1855","yellow"
"evm.TU.Chr02.1861","turquoise"
"evm.TU.Chr02.1867","brown"
"evm.TU.Chr02.1964","blue"
"evm.TU.Chr02.1975","brown"
"evm.TU.Chr02.1979","grey"
"evm.TU.Chr02.1980","turquoise"
"evm.TU.Chr02.2076","grey"
"evm.TU.Chr02.2183","grey"
"evm.TU.Chr02.2212","turquoise"
"evm.TU.Chr02.2268","green"
"evm.TU.Chr02.2270","red"
"evm.TU.Chr02.2276","turquoise"
"evm.TU.Chr02.2371","grey"
"evm.TU.Chr02.2383","turquoise"
"evm.TU.Chr02.2394","grey"
"evm.TU.Chr02.2402","grey"
"evm.TU.Chr02.2474","grey"
"evm.TU.Chr02.2546","brown"
"evm.TU.Chr02.2601","brown"
"evm.TU.Chr10.19_evm.TU.Chr10.20","black"
"evm.TU.Chr10.59","yellow"
"evm.TU.Chr10.65","turquoise"
"evm.TU.Chr10.66","turquoise"
"evm.TU.Chr10.114","grey"
"evm.TU.Chr10.125","grey"
"evm.TU.Chr10.126","grey"
"evm.TU.Chr10.134","yellow"
"evm.TU.Chr10.159","brown"
"evm.TU.Chr10.160","brown"
"evm.TU.Chr10.171","grey"
"evm.TU.Chr10.176","green"
"evm.TU.Chr10.177","green"
"evm.TU.Chr10.246","green"
"evm.TU.Chr10.258","green"
"evm.TU.Chr10.262","yellow"
"evm.TU.Chr10.300","brown"
"evm.TU.Chr10.346","black"
"evm.TU.Chr10.351","grey"
"evm.TU.Chr10.352","grey"
"evm.TU.Chr10.373","green"
"evm.TU.Chr10.386","grey"
"evm.TU.Chr10.468","green"
"evm.TU.Chr10.469","red"
"evm.TU.Chr10.489","blue"
"evm.TU.Chr10.502","grey"
"evm.TU.Chr10.531","red"
"evm.TU.Chr10.541","blue"
"evm.TU.Chr10.640","grey"
"evm.TU.Chr10.762","green"
"evm.TU.Chr10.776","green"
"evm.TU.Chr10.829","turquoise"
"evm.TU.Chr10.834","brown"
"evm.TU.Chr10.849","grey"
"evm.TU.Chr10.860","green"
"evm.TU.Chr10.861","green"
"evm.TU.Chr10.862","green"
"evm.TU.Chr10.906","grey"
"evm.TU.Chr10.919","red"
"evm.TU.Chr10.945","red"
"evm.TU.Chr10.959","blue"
"evm.TU.Chr10.966","blue"
"evm.TU.Chr10.1007","green"
"evm.TU.Chr10.1060","red"
"evm.TU.Chr10.1070","black"
"evm.TU.Chr10.1073","brown"
"evm.TU.Chr10.1108","grey"
"evm.TU.Chr10.1120","grey"
"evm.TU.Chr10.1152","red"
"evm.TU.Chr10.1156","turquoise"
"evm.TU.Chr10.1184","grey"
"evm.TU.Chr10.1193","brown"
"evm.TU.Chr10.1194","turquoise"
"evm.TU.Chr10.1195","grey"
"evm.TU.Chr10.1201","turquoise"
"evm.TU.Chr10.1224","yellow"
"evm.TU.Chr10.1308","grey"
"evm.TU.Chr10.1317","grey"
"evm.TU.Chr10.1318","turquoise"
"evm.TU.Chr10.1338","grey"
"evm.TU.Chr10.1365","turquoise"
"evm.TU.Chr10.1392","grey"
"evm.TU.Chr10.1416","red"
"evm.TU.Chr10.1471","grey"
"evm.TU.Chr10.1472","blue"
"evm.TU.Chr10.1473","blue"
"evm.TU.Chr10.1474","blue"
"evm.TU.Chr10.1477","turquoise"
"evm.TU.Chr10.1482","black"
"evm.TU.Chr10.1561","turquoise"
"evm.TU.Chr10.1611","yellow"
"evm.TU.Chr10.1634","brown"
"evm.TU.Chr10.1649","blue"
"evm.TU.Chr10.1682","yellow"
"evm.TU.Chr10.1701","grey"
"evm.TU.Chr10.1720","green"
"evm.TU.Chr10.1737","red"
"evm.TU.Chr10.1738","red"
"evm.TU.Chr10.1739","turquoise"
"evm.TU.Chr10.1747","red"
"evm.TU.Chr10.1749","red"
"evm.TU.Chr04.148","black"
"evm.TU.Chr04.152","brown"
"evm.TU.Chr04.157","red"
"evm.TU.Chr04.187","grey"
"evm.TU.Chr04.194","grey"
"evm.TU.Chr04.220","turquoise"
"evm.TU.Chr04.248","turquoise"
"evm.TU.Chr04.302","turquoise"
"evm.TU.Chr04.305","brown"
"evm.TU.Chr04.307","turquoise"
"evm.TU.Chr04.308","turquoise"
"evm.TU.Chr04.374","turquoise"
"evm.TU.Chr04.375","grey"
"evm.TU.Chr04.379","turquoise"
"evm.TU.Chr04.380","blue"
"evm.TU.Chr04.389","green"
"evm.TU.Chr04.395","brown"
"evm.TU.Chr04.399","yellow"
"evm.TU.Chr04.405","green"
"evm.TU.Chr04.437","black"
"evm.TU.Chr04.452","turquoise"
"evm.TU.Chr04.454","black"
"evm.TU.Chr04.455","brown"
"evm.TU.Chr04.499","turquoise"
"evm.TU.Chr04.537","grey"
"evm.TU.Chr04.640","turquoise"
"evm.TU.Chr04.715","brown"
"evm.TU.Chr04.764","brown"
"evm.TU.Chr04.804","turquoise"
"evm.TU.Chr04.845","turquoise"
"evm.TU.Chr04.885","green"
"evm.TU.Chr04.897","blue"
"evm.TU.Chr04.898","blue"
"evm.TU.Chr04.900","grey"
"evm.TU.Chr04.901","grey"
"evm.TU.Chr04.948","blue"
"evm.TU.Chr04.1011","blue"
"evm.TU.Chr04.1047","blue"
"evm.TU.Chr04.1059","blue"
"evm.TU.Chr04.1067","red"
"evm.TU.Chr04.1068","yellow"
"evm.TU.Chr04.1070","turquoise"
"evm.TU.Chr04.1071","grey"
"evm.TU.Chr04.1075","brown"
"evm.TU.Chr04.1076","grey"
"evm.TU.Chr04.1077","grey"
"evm.TU.Chr04.1177","red"
"evm.TU.Chr04.1252","brown"
"evm.TU.Chr04.1253","turquoise"
"evm.TU.Chr04.1269","blue"
"evm.TU.Chr04.1270","grey"
"evm.TU.Chr04.1297","turquoise"
"evm.TU.Chr04.1341","yellow"
"evm.TU.Chr04.1342","brown"
"evm.TU.Chr04.1360","turquoise"
"evm.TU.Chr04.1362","blue"
"evm.TU.Chr04.1363","turquoise"
"evm.TU.Chr04.1395","turquoise"
"evm.TU.Chr04.1411","blue"
"evm.TU.Chr04.1459","grey"
"evm.TU.Chr04.1489","grey"
"evm.TU.Chr04.1574","yellow"
"evm.TU.Chr04.1681","green"
"evm.TU.Chr04.1695","red"
"evm.TU.Chr04.1708","brown"
"evm.TU.Chr04.1737","grey"
"evm.TU.Chr04.1749","grey"
"evm.TU.Chr04.1751","yellow"
"evm.TU.Chr04.1752","black"
"evm.TU.Chr04.1772","green"
"evm.TU.Chr04.1773","grey"
"evm.TU.Chr04.1782","brown"
"evm.TU.Chr04.1788","black"
"evm.TU.Chr04.1811","brown"
"evm.TU.Chr04.1846","brown"
"evm.TU.Chr04.1934","green"
"evm.TU.Chr04.1978","brown"
"evm.TU.Chr04.2015","brown"
"evm.TU.Chr04.2016","brown"
"evm.TU.Chr04.2017","brown"
"evm.TU.Chr04.2051_evm.TU.Chr04.2052","yellow"
"evm.TU.Chr04.2072","blue"
"evm.TU.Chr04.2084","turquoise"
"evm.TU.Chr04.2218","blue"
"evm.TU.Chr04.2227_evm.TU.Chr04.2228","red"
"evm.TU.Chr04.2234","blue"
"evm.TU.Chr04.2293","brown"
"evm.TU.Chr04.2298","grey"
"evm.TU.Chr04.2299","grey"
"evm.TU.Chr04.2394","brown"
"evm.TU.Chr04.2406","brown"
"evm.TU.Chr04.2471","turquoise"
"evm.TU.Chr04.2473","turquoise"
"evm.TU.Chr04.2628","blue"
"evm.TU.Chr04.2733","turquoise"
"evm.TU.Chr04.2772","red"
"evm.TU.Chr04.2851","blue"
"evm.TU.Chr04.2853","blue"
"evm.TU.Chr04.2906","brown"
"evm.TU.Chr04.2929","red"
"evm.TU.Chr04.2940","blue"
"evm.TU.Chr04.2966","turquoise"
"evm.TU.Chr04.3003","red"
"evm.TU.Chr04.3051","blue"
"evm.TU.Chr04.3052","blue"
"evm.TU.Chr04.3075","blue"
"evm.TU.Chr04.3117","turquoise"
"evm.TU.Chr04.3126","grey"
"evm.TU.Chr04.3139","black"
"evm.TU.Chr04.3151","green"
"evm.TU.Chr04.3159","turquoise"
"evm.TU.Chr04.3262","grey"
"evm.TU.Chr04.3327","blue"
"evm.TU.Chr01.16","turquoise"
"evm.TU.Chr01.26","yellow"
"evm.TU.Chr01.38","yellow"
"evm.TU.Chr01.112","grey"
"evm.TU.Chr01.128","grey"
"evm.TU.Chr01.130","grey"
"evm.TU.Chr01.131","brown"
"evm.TU.Chr01.132","grey"
"evm.TU.Chr01.133","grey"
"evm.TU.Chr01.135","yellow"
"evm.TU.Chr01.165","turquoise"
"evm.TU.Chr01.186","yellow"
"evm.TU.Chr01.248","yellow"
"evm.TU.Chr01.276","black"
"evm.TU.Chr01.281","grey"
"evm.TU.Chr01.290","grey"
"evm.TU.Chr01.294","grey"
"evm.TU.Chr01.297_evm.TU.Chr01.298","blue"
"evm.TU.Chr01.324","grey"
"evm.TU.Chr01.329","turquoise"
"evm.TU.Chr01.332_evm.TU.Chr01.330","turquoise"
"evm.TU.Chr01.331","turquoise"
"evm.TU.Chr01.342","grey"
"evm.TU.Chr01.344","green"
"evm.TU.Chr01.346","turquoise"
"evm.TU.Chr01.381","brown"
"evm.TU.Chr01.408","grey"
"evm.TU.Chr01.409","turquoise"
"evm.TU.Chr01.414","turquoise"
"evm.TU.Chr01.436","turquoise"
"evm.TU.Chr01.438","turquoise"
"evm.TU.Chr01.439","turquoise"
"evm.TU.Chr01.440","green"
"evm.TU.Chr01.447","turquoise"
"evm.TU.Chr01.458","green"
"evm.TU.Chr01.459","green"
"evm.TU.Chr01.460","green"
"evm.TU.Chr01.551","green"
"evm.TU.Chr01.559","green"
"evm.TU.Chr01.562","grey"
"evm.TU.Chr01.564","yellow"
"evm.TU.Chr01.615","turquoise"
"evm.TU.Chr01.616","blue"
"evm.TU.Chr01.619","grey"
"evm.TU.Chr01.621","brown"
"evm.TU.Chr01.623","green"
"evm.TU.Chr01.636","blue"
"evm.TU.Chr01.680","grey"
"evm.TU.Chr01.696","green"
"evm.TU.Chr01.697","green"
"evm.TU.Chr01.698","grey"
"evm.TU.Chr01.734","turquoise"
"evm.TU.Chr01.740","turquoise"
"evm.TU.Chr01.743","grey"
"evm.TU.Chr01.764","grey"
"evm.TU.Chr01.783","grey"
"evm.TU.Chr01.872","grey"
"evm.TU.Chr01.874","blue"
"evm.TU.Chr01.902","green"
"evm.TU.Chr01.914","brown"
"evm.TU.Chr01.924","yellow"
"evm.TU.Chr01.938","grey"
"evm.TU.Chr01.940","yellow"
"evm.TU.Chr01.966","brown"
"evm.TU.Chr01.967","turquoise"
"evm.TU.Chr01.995","turquoise"
"evm.TU.Chr01.996","brown"
"evm.TU.Chr01.1022","brown"
"evm.TU.Chr01.1056","brown"
"evm.TU.Chr01.1088","turquoise"
"evm.TU.Chr01.1094","brown"
"evm.TU.Chr01.1115","green"
"evm.TU.Chr01.1119","green"
"evm.TU.Chr01.1120","brown"
"evm.TU.Chr01.1121","brown"
"evm.TU.Chr01.1128","grey"
"evm.TU.Chr01.1140","grey"
"evm.TU.Chr01.1189","turquoise"
"evm.TU.Chr01.1192","grey"
"evm.TU.Chr01.1197","turquoise"
"evm.TU.Chr01.1198","turquoise"
"evm.TU.Chr01.1210","green"
"evm.TU.Chr01.1212","turquoise"
"evm.TU.Chr01.1223","grey"
"evm.TU.Chr01.1229","green"
"evm.TU.Chr01.1235","grey"
"evm.TU.Chr01.1245","blue"
"evm.TU.Chr01.1277","grey"
"evm.TU.Chr01.1324","turquoise"
"evm.TU.Chr01.1391","grey"
"evm.TU.Chr01.1392","grey"
"evm.TU.Chr01.1393","blue"
"evm.TU.Chr01.1430","red"
"evm.TU.Chr01.1431","yellow"
"evm.TU.Chr01.1432","yellow"
"evm.TU.Chr01.1449","turquoise"
"evm.TU.Chr01.1472","yellow"
"evm.TU.Chr01.1479","red"
"evm.TU.Chr01.1480","red"
"evm.TU.Chr01.1486","grey"
"evm.TU.Chr01.1528","brown"
"evm.TU.Chr01.1538","turquoise"
"evm.TU.Chr01.1595","blue"
"evm.TU.Chr01.1596","blue"
"evm.TU.Chr01.1602","grey"
"evm.TU.Chr01.1603","grey"
"evm.TU.Chr01.1613","yellow"
"evm.TU.Chr01.1628","grey"
"evm.TU.Chr01.1668","green"
"evm.TU.Chr01.1671","grey"
"evm.TU.Chr01.1672","grey"
"evm.TU.Chr01.1780","yellow"
"evm.TU.Chr01.1789","blue"
"evm.TU.Chr01.1790","grey"
"evm.TU.Chr01.1801","black"
"evm.TU.Chr01.1802","grey"
"evm.TU.Chr01.1811","grey"
"evm.TU.Chr01.1812","yellow"
"evm.TU.Chr01.1816","yellow"
"evm.TU.Chr01.1817","yellow"
"evm.TU.Chr01.1879","blue"
"evm.TU.Chr01.1908_evm.TU.Chr01.1910","green"
"evm.TU.Chr01.1917","brown"
"evm.TU.Chr01.1920","turquoise"
"evm.TU.Chr01.1934","grey"
"evm.TU.Chr01.1938","yellow"
"evm.TU.Chr01.1943","grey"
"evm.TU.Chr01.1962","brown"
"evm.TU.Chr01.1971","green"
"evm.TU.Chr01.1973","turquoise"
"evm.TU.Chr01.2027","green"
"evm.TU.Chr01.2031","blue"
"evm.TU.Chr01.2038","grey"
"evm.TU.Chr01.2044","grey"
"evm.TU.Chr01.2053","yellow"
"evm.TU.Chr01.2095","green"
"evm.TU.Chr01.2097","grey"
"evm.TU.Chr01.2132","turquoise"
"evm.TU.Chr01.2191","turquoise"
"evm.TU.Chr01.2192","turquoise"
"evm.TU.Chr01.2203","grey"
"evm.TU.Chr01.2233","blue"
"evm.TU.Chr01.2281","red"
"evm.TU.Chr01.2282","grey"
"evm.TU.Chr01.2292","grey"
"evm.TU.Chr01.2294","grey"
"evm.TU.Chr01.2340","green"
"evm.TU.Chr01.2353","brown"
"evm.TU.Chr01.2361","red"
"evm.TU.Chr01.2381","brown"
"evm.TU.Chr01.2403","grey"
"evm.TU.Chr01.2465","turquoise"
"evm.TU.Chr01.2501","green"
"evm.TU.Chr01.2569","grey"
"evm.TU.Chr01.2615","red"
"evm.TU.Chr01.2684","green"
"evm.TU.Chr01.2687","green"
"evm.TU.Chr01.2762","grey"
"evm.TU.Chr01.2807","red"
"evm.TU.Chr01.2809","red"
"evm.TU.Chr01.2810","red"
"evm.TU.Chr01.2811","red"
"evm.TU.Chr01.2813","red"
"evm.TU.Chr01.2826","grey"
"evm.TU.Chr01.2832","brown"
"evm.TU.Chr01.2838","grey"
"evm.TU.Chr01.2847","blue"
"evm.TU.Chr01.2911","brown"
"evm.TU.Chr01.2933","green"
"evm.TU.Chr01.2988","turquoise"
"evm.TU.Chr01.3013","turquoise"
"evm.TU.Chr01.3026","green"
"evm.TU.Chr01.3036","turquoise"
"evm.TU.Chr01.3070","blue"
"evm.TU.Chr01.3089","yellow"
"evm.TU.Chr01.3090","grey"
"evm.TU.Chr01.3100","turquoise"
"evm.TU.Chr01.3134","turquoise"
"evm.TU.Chr01.3135","grey"
"evm.TU.Chr01.3148","grey"
"evm.TU.Chr01.3152","turquoise"
"evm.TU.Chr01.3154","yellow"
"evm.TU.Chr01.3155","grey"
"evm.TU.Chr01.3177","grey"
"evm.TU.Chr01.3178","brown"
"evm.TU.Chr01.3179","grey"
"evm.TU.Chr01.3184","grey"
"evm.TU.Chr01.3219","yellow"
"evm.TU.Chr01.3259","blue"
"evm.TU.Chr01.3273","grey"
"evm.TU.Chr01.3277","brown"
"evm.TU.Chr01.3301","black"
"evm.TU.Chr09.36","green"
"evm.TU.Chr09.48","grey"
"evm.TU.Chr09.50","blue"
"evm.TU.Chr09.96","grey"
"evm.TU.Chr09.101","turquoise"
"evm.TU.Chr09.112","turquoise"
"evm.TU.Chr09.117","grey"
"evm.TU.Chr09.129","grey"
"evm.TU.Chr09.131","green"
"evm.TU.Chr09.135","grey"
"evm.TU.Chr09.140","turquoise"
"evm.TU.Chr09.144","grey"
"evm.TU.Chr09.145","grey"
"evm.TU.Chr09.146","grey"
"evm.TU.Chr09.152","turquoise"
"evm.TU.Chr09.154","turquoise"
"evm.TU.Chr09.177","brown"
"evm.TU.Chr09.242","grey"
"evm.TU.Chr09.258","yellow"
"evm.TU.Chr09.260","yellow"
"evm.TU.Chr09.276","brown"
"evm.TU.Chr09.286","turquoise"
"evm.TU.Chr09.300","yellow"
"evm.TU.Chr09.353","brown"
"evm.TU.Chr09.415","turquoise"
"evm.TU.Chr09.418","blue"
"evm.TU.Chr09.452","grey"
"evm.TU.Chr09.573","turquoise"
"evm.TU.Chr09.579","grey"
"evm.TU.Chr09.610","grey"
"evm.TU.Chr09.626","yellow"
"evm.TU.Chr09.717","grey"
"evm.TU.Chr09.730","blue"
"evm.TU.Chr09.738","brown"
"evm.TU.Chr09.739","grey"
"evm.TU.Chr09.777","blue"
"evm.TU.Chr09.810","green"
"evm.TU.Chr09.871","grey"
"evm.TU.Chr09.872","grey"
"evm.TU.Chr09.874","turquoise"
"evm.TU.Chr09.875","brown"
"evm.TU.Chr09.888","blue"
"evm.TU.Chr09.906","grey"
"evm.TU.Chr09.936","turquoise"
"evm.TU.Chr09.973","grey"
"evm.TU.Chr09.988","yellow"
"evm.TU.Chr09.995","grey"
"evm.TU.Chr09.1003","grey"
"evm.TU.Chr09.1030_evm.TU.Chr09.1031","turquoise"
"evm.TU.Chr09.1056","blue"
"evm.TU.Chr09.1074","grey"
"evm.TU.Chr09.1078","grey"
"evm.TU.Chr09.1079_evm.TU.Chr09.1080","yellow"
"evm.TU.Chr09.1084","grey"
"evm.TU.Chr09.1120","brown"
"evm.TU.Chr09.1160","green"
"evm.TU.Chr09.1165","turquoise"
"evm.TU.Chr09.1166","turquoise"
"evm.TU.Chr09.1179","brown"
"evm.TU.Chr09.1192","turquoise"
"evm.TU.Chr09.1225","blue"
"evm.TU.Chr09.1251","yellow"
"evm.TU.Chr09.1303","grey"
"evm.TU.Chr09.1345","grey"
"evm.TU.Chr09.1402","green"
"evm.TU.Chr09.1403","yellow"
"evm.TU.Chr09.1405","turquoise"
"evm.TU.Chr09.1421","yellow"
"evm.TU.Chr09.1448","green"
"evm.TU.Chr09.1496","grey"
"evm.TU.Chr09.1504","turquoise"
"evm.TU.Chr09.1536","grey"
"evm.TU.Chr09.1558","grey"
"evm.TU.Chr09.1585","turquoise"
"evm.TU.Chr09.1586","grey"
"evm.TU.Chr09.1589","blue"
"evm.TU.Chr09.1594","green"
"evm.TU.Chr09.1664","green"
"evm.TU.Chr09.1667","yellow"
"evm.TU.Chr09.1752","turquoise"
"evm.TU.Chr09.1774","turquoise"
"evm.TU.Chr09.1824","turquoise"
"evm.TU.Chr09.1826","green"
"evm.TU.Chr09.1856","red"
"evm.TU.Chr09.1860","turquoise"
"evm.TU.Chr09.1861","turquoise"
"evm.TU.Chr09.1877","turquoise"
"evm.TU.Chr09.1936","turquoise"
"evm.TU.Chr09.1943","red"
"evm.TU.Chr09.2001","brown"
"evm.TU.Chr09.2015","grey"
"evm.TU.Chr09.2017","grey"
"evm.TU.Chr09.2074","blue"
"evm.TU.Chr09.2136","red"
"evm.TU.Chr09.2159","grey"
"evm.TU.Chr09.2202","black"
"evm.TU.Chr09.2245","blue"
"evm.TU.Chr09.2267","grey"
"evm.TU.Chr09.2271","grey"
"evm.TU.Chr09.2362","grey"
"evm.TU.Chr09.2446","grey"
"evm.TU.Chr07.53","grey"
"evm.TU.Chr07.93","grey"
"evm.TU.Chr07.94","grey"
"evm.TU.Chr07.121","grey"
"evm.TU.Chr07.156","yellow"
"evm.TU.Chr07.220","blue"
"evm.TU.Chr07.248","blue"
"evm.TU.Chr07.279","brown"
"evm.TU.Chr07.470","red"
"evm.TU.Chr07.498","red"
"evm.TU.Chr07.499","red"
"evm.TU.Chr07.503","turquoise"
"evm.TU.Chr07.565","grey"
"evm.TU.Chr07.606","blue"
"evm.TU.Chr07.609","blue"
"evm.TU.Chr07.610","blue"
"evm.TU.Chr07.689","blue"
"evm.TU.Chr07.714","grey"
"evm.TU.Chr07.910","grey"
"evm.TU.Chr07.927","green"
"evm.TU.Chr07.933","brown"
"evm.TU.Chr07.951","turquoise"
"evm.TU.Chr07.985","turquoise"
"evm.TU.Chr07.1125","blue"
"evm.TU.Chr07.1161","brown"
"evm.TU.Chr07.1175","grey"
"evm.TU.Chr07.1188","grey"
"evm.TU.Chr07.1189","grey"
"evm.TU.Chr07.1190","grey"
"evm.TU.Chr07.1267","brown"
"evm.TU.Chr07.1328","black"
"evm.TU.Chr07.1350","blue"
"evm.TU.Chr07.1423","yellow"
"evm.TU.Chr07.1430","turquoise"
"evm.TU.Chr07.1431","black"
"evm.TU.Chr07.1432","black"
"evm.TU.Chr07.1534","grey"
"evm.TU.Chr07.1536","green"
"evm.TU.Chr07.1573","grey"
"evm.TU.Chr07.1574","grey"
"evm.TU.Chr07.1627","grey"
"evm.TU.Chr07.1748","grey"
"evm.TU.Chr07.1750","blue"
"evm.TU.Chr07.1775","blue"
"evm.TU.Chr07.1777","grey"
"evm.TU.Chr07.1783","blue"
"evm.TU.Chr07.1794","blue"
"evm.TU.Chr07.1876","grey"
"evm.TU.Chr07.1885","green"
"evm.TU.Chr07.2114","grey"
"evm.TU.Chr07.2115","grey"
"evm.TU.Chr07.2122","yellow"
"evm.TU.Chr07.2124","grey"
"evm.TU.Chr07.2125","grey"
"evm.TU.Chr07.2132","grey"
"evm.TU.Chr07.2133","brown"
"evm.TU.Chr07.2206","black"
"evm.TU.Chr07.2207","black"
"evm.TU.Chr07.2210","turquoise"
"evm.TU.Chr07.2217","grey"
"evm.TU.Chr07.2218","yellow"
"evm.TU.Chr07.2219","red"
"evm.TU.Chr07.2220","red"
