"module","trait","correlation","n_events","p_value","FDR","absolute_correlation"
"MEblack","pH_7d_available_mean",-0.576869183906743,5,0.308568247601186,0.757000052779012,0.576869183906743
"MEblue","month_Aug",-0.492379952485324,6,0.321115881067602,0.757000052779012,0.492379952485324
"MEturquoise","precipitation_7d_total_mm",0.490178029372613,6,0.323621596517875,0.757000052779012,0.490178029372613
"MEbrown","DO_7d_mean",0.489470204132115,6,0.324428594048148,0.757000052779012,0.489470204132115
"MEyellow","location_DAF",0.460936390344723,6,0.357561230199402,0.793491966068976,0.460936390344723
"MEturquoise","month_Jun",-0.447212972728039,6,0.373901713626622,0.793491966068976,0.447212972728039
"MEblue","temperature_7d_mean",-0.447068759138938,6,0.374074784003946,0.793491966068976,0.447068759138938
"MEblue","pH_7d_available_mean",-0.466577235635573,5,0.428254675248086,0.876162004829277,0.466577235635573
"MEblack","month_Jul",-0.395184804308147,6,0.438081002414638,0.876162004829277,0.395184804308147
"MEbrown","month_Jul",0.356185669498581,6,0.488315818678356,0.892314113706488,0.356185669498581
"MEyellow","month_Aug",-0.35172823531734,6,0.494164280913084,0.892314113706488,0.35172823531734
"MEred","month_Jul",-0.34240142977227,6,0.506469211289593,0.892314113706488,0.34240142977227
"MEbrown","conductivity_7d_spline_mean",0.33232033892852,6,0.519869690284023,0.892314113706488,0.33232033892852
"MEbrown","salinity_7d_spline_mean",0.331141263685158,6,0.521443675367457,0.892314113706488,0.331141263685158
"MEgreen","location_DAF",-0.320229900021313,6,0.53607448798731,0.892314113706488,0.320229900021313
"MEred","precipitation_7d_total_mm",0.307755837311948,6,0.552940584193265,0.892314113706488,0.307755837311948
"MEgreen","month_Jun",-0.298262703306975,6,0.565872765554135,0.892314113706488,0.298262703306975
"MEblue","salinity_7d_spline_mean",0.293214061773113,6,0.572783371467938,0.892314113706488,0.293214061773113
"MEblue","conductivity_7d_spline_mean",0.289641822589029,6,0.577686637819697,0.892314113706488,0.289641822589029
"MEyellow","DO_7d_mean",-0.283329592378568,6,0.586377846149978,0.892314113706488,0.283329592378568
"MEyellow","temperature_7d_mean",0.261094906314344,6,0.617257132224793,0.89678574923344,0.261094906314344
"MEyellow","precipitation_7d_total_mm",-0.231649595988315,6,0.658740942506202,0.89678574923344,0.231649595988315
"MEblack","location_DAF",0.227862890568053,6,0.664121155330823,0.89678574923344,0.227862890568053
"MEyellow","month_Jul",0.226315386859832,6,0.666322704494763,0.89678574923344,0.226315386859832
"MEblue","month_Jul",-0.203860533775204,6,0.698445331248174,0.89678574923344,0.203860533775204
"MEturquoise","salinity_7d_spline_mean",-0.202938190990941,6,0.699771607545587,0.89678574923344,0.202938190990941
"MEred","month_Jun",-0.202389615582945,6,0.700560673462015,0.89678574923344,0.202389615582945
"MEturquoise","conductivity_7d_spline_mean",-0.198767749052887,6,0.705774895961011,0.89678574923344,0.198767749052887
"MEbrown","month_Jun",-0.179127446600915,6,0.73418262923562,0.89678574923344,0.179127446600915
"MEbrown","month_Aug",-0.177058222897666,6,0.737188019151362,0.89678574923344,0.177058222897666
"MEbrown","temperature_7d_mean",0.171198358254664,6,0.745711278504741,0.89678574923344,0.171198358254664
"MEturquoise","temperature_7d_mean",0.166459457152787,6,0.752617006085387,0.89678574923344,0.166459457152787
"MEgreen","DO_7d_mean",0.160614646344003,6,0.761149723689339,0.89678574923344,0.160614646344003
"MEturquoise","DO_7d_mean",0.143755361071573,6,0.785852354063302,0.89678574923344,0.143755361071573
"MEyellow","salinity_7d_spline_mean",0.139643934224999,6,0.791895656930541,0.89678574923344,0.139643934224999
"MEyellow","conductivity_7d_spline_mean",0.137956973295424,6,0.794377347339201,0.89678574923344,0.137956973295424
"MEyellow","month_Jun",0.125412848457508,6,0.812866997942867,0.89678574923344,0.125412848457508
"MEred","temperature_7d_mean",-0.115586522060921,6,0.827392348982288,0.89678574923344,0.115586522060921
"MEbrown","precipitation_7d_total_mm",0.104817517480481,6,0.843349523716304,0.89678574923344,0.104817517480481
"MEyellow","pH_7d_available_mean",-0.121612367575389,5,0.845540849277243,0.89678574923344,0.121612367575389
"MEblue","DO_7d_mean",0.0772933460090128,6,0.884290866310826,0.923885979727728,0.0772933460090128
"MEgreen","precipitation_7d_total_mm",0.0660092534601672,6,0.901129928280335,0.927633749700345,0.0660092534601672
"MEturquoise","month_Jul",-0.0564680059621365,6,0.91538801900658,0.92865451203566,0.0564680059621365
"MEblack","temperature_7d_mean",-0.0156460040842549,6,0.97653290892452,0.97653290892452,0.0156460040842549
